Index,Time,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,heading,roll,pitch,linacc_x,linacc_y,linacc_z,gravity_x,gravity_y,gravity_z,quat_w,quat_x,quat_y,quat_z
54,3.822,-0.890,1.100,9.540,-69.688,-55.500,-42.250,0.000,-0.062,0.000,145.875,-4.938,-6.438,-0.040,0.000,-0.160,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
55,3.893,-0.885,1.095,9.575,-69.688,-55.281,-43.000,0.031,-0.031,0.031,145.875,-4.938,-6.438,-0.035,-0.005,-0.125,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
56,3.965,-0.900,1.105,9.650,-69.688,-55.062,-43.219,0.062,-0.156,0.062,145.875,-4.938,-6.438,-0.020,0.005,-0.110,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
57,4.036,-0.905,1.105,9.640,-69.688,-54.656,-43.094,0.031,-0.281,0.062,145.875,-4.938,-6.438,-0.070,0.000,-0.065,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
57,4.036,-0.905,1.105,9.640,-69.688,-54.656,-43.094,0.031,-0.281,0.062,145.875,-4.938,-6.438,-0.070,0.000,-0.065,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
58,4.108,-0.920,1.105,9.630,-69.469,-54.875,-43.875,-0.062,0.125,0.031,145.875,-4.938,-6.438,-0.080,-0.010,-0.065,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
59,4.180,-0.915,1.110,9.620,-69.469,-55.500,-43.406,-0.157,-0.062,0.062,145.875,-4.938,-6.438,-0.085,0.000,-0.055,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
60,4.253,-0.945,1.105,9.645,-69.469,-55.281,-43.406,-0.094,-0.062,0.000,145.875,-4.906,-6.438,-0.155,0.005,0.015,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
61,4.321,-0.945,1.110,9.635,-69.656,-55.062,-43.062,0.000,0.281,-0.125,145.875,-4.875,-6.438,-0.085,0.005,-0.100,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
62,4.392,-0.930,1.110,9.645,-69.875,-55.406,-43.032,-0.031,0.031,-0.093,145.875,-4.875,-6.438,-0.065,0.005,-0.090,-0.840,1.100,9.700,0.293,0.058,-0.041,-0.954
