Index,Time,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,euler_x,euler_y,euler_z,linacc_x,linacc_y,linacc_z,gravity_x,gravity_y,gravity_z,quat_w,quat_x,quat_y,quat_z
0,0.000,-0.940000,1.120000,9.670000,-70.062500,-54.687500,-42.562500,-0.062500,0.000000,-0.062500,145.875000,-4.937500,-6.500000,-0.090000,0.000000,-0.100000,-0.840000,1.110000,9.700000,0.292236,0.058044,-0.041748,-0.953674
1,0.071,-0.880000,1.110000,9.560000,-71.187500,-54.250000,-42.250000,0.062500,-0.125000,0.125000,145.875000,-4.937500,-6.500000,-0.060000,0.000000,-0.090000,-0.840000,1.110000,9.700000,0.292236,0.058044,-0.041748,-0.953674
2,0.142,-0.950000,1.120000,9.660000,-70.750000,-55.062500,-42.562500,0.125000,-0.125000,0.062500,145.875000,-4.937500,-6.500000,-0.090000,-0.010000,-0.030000,-0.840000,1.110000,9.700000,0.292236,0.058044,-0.041748,-0.953674
3,0.212,-0.900000,1.100000,9.540000,-70.062500,-55.500000,-43.000000,0.062500,-0.062500,0.250000,145.875000,-4.937500,-6.500000,-0.050000,-0.030000,-0.130000,-0.840000,1.110000,9.700000,0.292236,0.058044,-0.041748,-0.953674
4,0.283,-0.950000,1.140000,9.680000,-70.062500,-54.687500,-43.000000,0.000000,0.062500,0.000000,145.875000,-4.937500,-6.500000,-0.110000,0.010000,-0.060000,-0.840000,1.110000,9.700000,0.292236,0.058044,-0.041748,-0.953674
5,0.352,-0.900000,1.120000,9.550000,-70.375000,-55.062500,-41.750000,0.000000,-0.375000,0.125000,145.875000,-4.937500,-6.500000,-0.050000,-0.020000,-0.130000,-0.840000,1.110000,9.700000,0.292236,0.058044,-0.041748,-0.953674
6,0.422,-0.930000,1.090000,9.680000,-69.687500,-55.500000,-43.000000,0.125000,0.187500,0.125000,145.875000,-4.937500,-6.500000,-0.100000,0.000000,-0.040000,-0.840000,1.110000,9.700000,0.292236,0.058044,-0.041748,-0.953674
7,0.493,-0.910000,1.110000,9.620000,-69.687500,-54.687500,-42.562500,0.125000,-0.062500,-0.187500,145.875000,-4.937500,-6.500000,-0.060000,0.000000,-0.090000,-0.840000,1.110000,9.700000,0.292236,0.058044,-0.041748,-0.953674
8,0.563,-0.940000,1.110000,9.680000,-70.375000,-55.750000,-42.187500,0.062500,0.125000,-0.125000,145.875000,-4.937500,-6.500000,-0.100000,0.010000,-0.080000,-0.840000,1.110000,9.700000,0.292236,0.058044,-0.041748,-0.953674
9,0.633,-0.900000,1.100000,9.590000,-70.062500,-54.250000,-43.000000,0.000000,0.000000,-0.062500,145.875000,-4.937500,-6.500000,-0.060000,-0.030000,-0.100000,-0.840000,1.110000,9.700000,0.292236,0.058044,-0.041748,-0.953674
10,0.702,-0.940000,1.130000,9.690000,-70.062500,-54.687500,-41.500000,0.000000,0.187500,-0.125000,145.875000,-4.937500,-6.500000,-0.080000,0.000000,-0.090000,-0.840000,1.110000,9.700000,0.292236,0.058044,-0.041748,-0.953674
11,0.773,-0.910000,1.100000,9.570000,-70.375000,-55.062500,-43.000000,-0.062500,0.000000,-0.062500,145.875000,-4.937500,-6.500000,-0.050000,-0.020000,-0.110000,-0.840000,1.110000,9.700000,0.292236,0.058044,-0.041748,-0.953674
12,0.844,-0.940000,1.090000,9.680000,-70.375000,-54.250000,-42.562500,-0.062500,0.062500,-0.125000,145.875000,-4.937500,-6.500000,-0.080000,0.000000,-0.060000,-0.840000,1.110000,9.700000,0.292236,0.058044,-0.041748,-0.953674
13,0.914,-0.890000,1.080000,9.550000,-70.375000,-54.687500,-43.000000,-0.062500,0.000000,-0.187500,145.875000,-4.937500,-6.500000,-0.030000,-0.020000,-0.100000,-0.840000,1.110000,9.700000,0.292236,0.058105,-0.041748,-0.953674
14,0.985,-0.960000,1.110000,9.700000,-70.375000,-54.250000,-43.500000,-0.062500,0.000000,0.062500,145.875000,-4.937500,-6.500000,-0.080000,0.000000,-0.090000,-0.840000,1.110000,9.700000,0.292236,0.058105,-0.041748,-0.953674
15,1.054,-0.870000,1.120000,9.560000,-70.062500,-55.062500,-42.250000,-0.062500,-0.125000,0.062500,145.875000,-4.937500,-6.500000,-0.150000,0.000000,0.000000,-0.840000,1.110000,9.700000,0.292236,0.058105,-0.041748,-0.953674
16,1.125,-0.950000,1.070000,9.710000,-70.062500,-54.687500,-43.000000,0.062500,-0.062500,0.000000,145.875000,-4.937500,-6.500000,-0.020000,0.000000,-0.150000,-0.840000,1.110000,9.700000,0.292236,0.058105,-0.041748,-0.953674
17,1.196,-0.890000,1.100000,9.540000,-70.062500,-55.062500,-42.187500,0.000000,-0.062500,0.000000,145.875000,-4.937500,-6.500000,-0.150000,0.010000,-0.010000,-0.840000,1.110000,9.700000,0.292236,0.058105,-0.041748,-0.953674
18,1.266,-0.950000,1.100000,9.680000,-70.375000,-55.062500,-42.562500,0.187500,0.125000,0.000000,145.875000,-4.937500,-6.500000,-0.020000,-0.020000,-0.160000,-0.840000,1.110000,9.700000,0.292236,0.058105,-0.041748,-0.953674
19,1.337,-0.870000,1.100000,9.530000,-70.062500,-55.062500,-42.562500,0.000000,0.000000,-0.187500,145.875000,-4.937500,-6.500000,-0.130000,0.000000,0.000000,-0.840000,1.110000,9.700000,0.292236,0.058105,-0.041748,-0.953674
20,1.406,-0.940000,1.110000,9.720000,-70.062500,-54.687500,-41.750000,0.125000,-0.187500,0.000000,145.875000,-4.937500,-6.500000,-0.010000,0.000000,-0.140000,-0.840000,1.110000,9.700000,0.292236,0.058105,-0.041748,-0.953674
21,1.476,-0.850000,1.080000,9.560000,-69.250000,-55.500000,-42.250000,-0.062500,0.312500,-0.187500,145.875000,-4.937500,-6.500000,-0.140000,-0.030000,-0.020000,-0.840000,1.110000,9.700000,0.292236,0.058105,-0.041748,-0.953674
22,1.547,-0.950000,1.130000,9.730000,-69.250000,-54.687500,-41.750000,-0.125000,-0.250000,-0.187500,145.875000,-4.937500,-6.500000,-0.040000,0.020000,-0.130000,-0.840000,1.110000,9.700000,0.292236,0.058105,-0.041748,-0.953674
23,1.617,-0.860000,1.090000,9.510000,-70.750000,-55.062500,-42.562500,0.000000,0.000000,0.062500,145.875000,-4.937500,-6.500000,-0.120000,0.000000,-0.010000,-0.840000,1.110000,9.700000,0.292236,0.058105,-0.041748,-0.953674
24,1.687,-1.000000,1.080000,9.720000,-69.250000,-54.687500,-42.250000,0.000000,-0.437500,0.000000,145.875000,-4.937500,-6.500000,0.000000,-0.020000,-0.120000,-0.840000,1.110000,9.700000,0.292236,0.058105,-0.041748,-0.953674
25,1.756,-0.930000,1.110000,9.650000,-70.062500,-55.750000,-40.562500,-0.062500,0.437500,-0.062500,145.875000,-4.937500,-6.500000,-0.120000,0.000000,-0.020000,-0.840000,1.110000,9.700000,0.292236,0.058105,-0.041748,-0.953674
26,1.827,-0.940000,1.080000,9.640000,-68.875000,-54.250000,-43.750000,0.062500,-0.312500,0.125000,145.875000,-4.937500,-6.500000,-0.040000,-0.020000,-0.210000,-0.840000,1.110000,9.700000,0.292236,0.058105,-0.041748,-0.953674
27,1.898,-0.950000,1.100000,9.680000,-68.875000,-55.062500,-42.250000,0.000000,0.500000,0.000000,145.875000,-4.937500,-6.500000,-0.090000,-0.020000,-0.040000,-0.840000,1.110000,9.700000,0.292236,0.058105,-0.041748,-0.953674
28,1.968,-0.910000,1.130000,9.580000,-69.687500,-54.687500,-42.562500,-0.125000,-0.375000,0.000000,145.875000,-4.937500,-6.500000,-0.050000,0.000000,-0.110000,-0.840000,1.110000,9.700000,0.292236,0.058105,-0.041748,-0.953674
29,2.039,-0.940000,1.110000,9.770000,-70.375000,-54.250000,-43.000000,0.000000,0.562500,-0.062500,145.875000,-4.937500,-6.500000,-0.080000,0.000000,-0.280000,-0.840000,1.110000,9.700000,0.292236,0.058105,-0.041748,-0.953674
30,2.108,-0.940000,1.080000,9.650000,-70.062500,-54.687500,-43.062500,0.000000,0.125000,0.000000,145.875000,-4.937500,-6.500000,-0.050000,-0.030000,-0.130000,-0.840000,1.110000,9.700000,0.292236,0.058044,-0.041748,-0.953674
31,2.178,-0.970000,1.150000,9.680000,-69.687500,-55.062500,-43.500000,0.000000,0.437500,-0.062500,145.875000,-4.937500,-6.500000,-0.120000,0.000000,-0.060000,-0.840000,1.110000,9.700000,0.292236,0.058044,-0.041748,-0.953674
32,2.249,-0.920000,1.130000,9.670000,-69.687500,-54.687500,-41.750000,0.000000,-0.250000,-0.125000,145.875000,-4.937500,-6.500000,-0.010000,0.000000,-0.120000,-0.840000,1.110000,9.700000,0.292236,0.058044,-0.041748,-0.953674
33,2.320,-0.960000,1.080000,9.650000,-69.687500,-54.250000,-42.562500,-0.125000,0.437500,0.187500,145.875000,-4.937500,-6.500000,-0.070000,-0.020000,-0.070000,-0.840000,1.110000,9.700000,0.292236,0.058044,-0.041748,-0.953674
34,2.390,-0.830000,1.120000,9.560000,-70.062500,-54.250000,-42.250000,-0.062500,-0.562500,0.125000,145.875000,-4.937500,-6.500000,-0.010000,0.000000,-0.040000,-0.840000,1.110000,9.700000,0.292236,0.058044,-0.041748,-0.953674
35,2.459,-0.900000,1.110000,9.720000,-69.687500,-55.062500,-41.375000,-0.062500,0.500000,0.062500,145.875000,-4.937500,-6.500000,-0.040000,0.020000,-0.110000,-0.840000,1.110000,9.700000,0.292236,0.058105,-0.041748,-0.953674
36,2.529,-0.900000,1.140000,9.550000,-70.062500,-55.500000,-43.500000,-0.125000,0.062500,0.000000,145.875000,-4.937500,-6.500000,-0.050000,-0.010000,-0.040000,-0.840000,1.110000,9.700000,0.292236,0.058167,-0.041687,-0.953674
37,2.600,-0.940000,1.090000,9.720000,-69.687500,-55.062500,-43.500000,-0.062500,0.750000,-0.125000,145.875000,-4.937500,-6.500000,-0.120000,-0.030000,-0.250000,-0.850000,1.110000,9.700000,0.292236,0.058228,-0.041687,-0.953674
38,2.671,-0.920000,1.070000,9.620000,-69.687500,-55.062500,-42.562500,-0.062500,0.062500,-0.062500,145.875000,-4.937500,-6.500000,-0.080000,-0.040000,-0.080000,-0.850000,1.110000,9.700000,0.292236,0.058228,-0.041687,-0.953674
39,2.741,-0.940000,1.110000,9.490000,-69.250000,-55.062500,-43.000000,0.062500,-0.062500,-0.125000,145.875000,-4.937500,-6.500000,-0.150000,0.020000,0.020000,-0.850000,1.110000,9.700000,0.292236,0.058289,-0.041687,-0.953674
40,2.810,-0.920000,1.120000,9.580000,-70.062500,-54.250000,-42.562500,0.062500,-0.500000,0.062500,145.875000,-4.937500,-6.500000,-0.050000,-0.010000,-0.130000,-0.850000,1.110000,9.700000,0.292236,0.058350,-0.041626,-0.953674
41,2.881,-0.970000,1.100000,9.590000,-69.687500,-54.687500,-42.562500,0.000000,0.375000,0.000000,145.875000,-4.937500,-6.500000,-0.100000,0.020000,-0.100000,-0.850000,1.110000,9.700000,0.292297,0.058411,-0.041626,-0.953613
42,2.952,-0.920000,1.050000,9.620000,-70.062500,-55.500000,-43.000000,0.000000,-0.250000,-0.062500,145.875000,-4.937500,-6.500000,-0.030000,-0.030000,-0.130000,-0.850000,1.110000,9.700000,0.292297,0.058411,-0.041626,-0.953613
43,3.023,-0.980000,1.060000,9.660000,-69.687500,-54.687500,-43.062500,-0.250000,0.437500,-0.062500,145.875000,-4.937500,-6.500000,-0.110000,-0.050000,-0.030000,-0.850000,1.110000,9.700000,0.292297,0.058411,-0.041626,-0.953613
44,3.095,-0.900000,1.120000,9.580000,-70.062500,-55.500000,-42.562500,0.062500,-0.062500,0.062500,145.875000,-4.937500,-6.500000,-0.010000,0.000000,-0.100000,-0.850000,1.110000,9.700000,0.292297,0.058411,-0.041626,-0.953613
45,3.167,-0.900000,1.080000,9.670000,-70.062500,-55.750000,-41.750000,0.125000,0.125000,0.062500,145.875000,-4.937500,-6.500000,-0.070000,0.000000,-0.050000,-0.850000,1.110000,9.700000,0.292297,0.058411,-0.041626,-0.953613
46,3.239,-0.870000,1.130000,9.550000,-69.250000,-55.062500,-43.000000,-0.062500,-0.125000,0.062500,145.875000,-4.937500,-6.500000,-0.010000,0.010000,-0.150000,-0.850000,1.110000,9.700000,0.292297,0.058411,-0.041626,-0.953613
47,3.310,-0.840000,1.090000,9.500000,-69.687500,-54.687500,-42.250000,0.000000,0.062500,-0.062500,145.875000,-4.937500,-6.500000,0.000000,-0.010000,-0.200000,-0.850000,1.110000,9.700000,0.292297,0.058411,-0.041626,-0.953613
48,3.381,-0.990000,1.150000,9.720000,-69.250000,-55.062500,-43.375000,0.062500,0.125000,0.062500,145.875000,-4.937500,-6.500000,-0.130000,0.040000,0.010000,-0.850000,1.110000,9.700000,0.292297,0.050598,-0.041626,-0.953613
