Index,Time,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,euler_x,euler_y,euler_z,linacc_x,linacc_y,linacc_z,gravity_x,gravity_y,gravity_z,quat_w,quat_x,quat_y,quat_z
0,0.000,0.090000,-0.090000,9.810000,-19.750000,5.000000,-30.250000,-0.375000,0.000000,0.062500,107.562500,0.187500,1.000000,0.080000,0.080000,-0.020000,0.030000,-0.170000,9.800000,0.590698,-0.006714,0.006348,-0.806885
1,0.060,0.070000,-0.050000,9.840000,-20.062500,3.875000,-30.687500,-0.500000,-0.125000,0.250000,107.562500,0.187500,1.000000,0.060000,0.080000,-0.010000,0.030000,-0.170000,9.800000,0.590698,-0.006714,0.006348,-0.806885
2,0.112,1.390000,-0.040000,9.790000,-19.375000,4.562500,-30.687500,0.062500,0.000000,0.125000,107.562500,0.187500,1.000000,0.050000,0.130000,-0.060000,0.030000,-0.170000,9.800000,0.590698,-0.006714,0.006348,-0.806885
3,0.164,0.100000,-0.060000,9.760000,-20.062500,3.875000,-29.875000,0.187500,-0.125000,0.000000,107.562500,0.187500,1.000000,0.070000,0.110000,-0.030000,0.030000,-0.170000,9.800000,0.590698,-0.006714,0.006348,-0.806885
4,0.217,0.070000,-0.110000,9.780000,-20.062500,4.250000,-30.250000,-0.187500,-0.125000,0.062500,107.562500,0.187500,1.000000,0.060000,0.070000,-0.030000,0.030000,-0.170000,9.800000,0.590698,-0.006714,0.006348,-0.806885
5,0.271,0.050000,-0.050000,9.800000,-20.062500,5.000000,-31.062500,0.000000,0.062500,0.062500,107.562500,0.187500,1.000000,0.040000,0.120000,0.010000,0.030000,-0.170000,9.800000,0.590698,-0.006714,0.006348,-0.806885
6,0.322,0.100000,-0.090000,9.830000,-19.750000,4.250000,-31.062500,0.375000,-0.125000,0.000000,107.562500,0.187500,1.000000,0.080000,0.110000,0.000000,0.030000,-0.170000,9.800000,0.590698,-0.006714,0.006348,-0.806885
7,0.374,0.090000,-0.100000,9.780000,-19.375000,3.875000,-31.062500,-0.250000,-0.062500,-0.062500,107.562500,0.187500,1.000000,0.070000,0.070000,0.000000,0.030000,-0.170000,9.800000,0.590698,-0.006714,0.006348,-0.806885
8,0.427,1.360000,-0.060000,9.770000,-19.375000,4.562500,-30.687500,-0.125000,0.125000,0.062500,107.562500,0.187500,1.000000,0.050000,0.100000,-0.020000,0.030000,-0.170000,9.800000,0.590698,-0.006714,0.006348,-0.806885
9,0.480,0.100000,-0.030000,9.760000,-19.750000,3.875000,-30.250000,0.250000,-0.062500,0.000000,107.562500,0.187500,1.000000,0.060000,0.120000,0.000000,0.030000,-0.170000,9.800000,0.590698,-0.006714,0.006348,-0.806885
